State,County,Total_Enrolled,UHC_Enrolled,UHC_Share,Comp1_Name,Comp1_Enrolled,Comp1_Share,Comp2_Name,Comp2_Enrolled,Comp2_Share,Comp3_Name,Comp3_Enrolled,Comp3_Share,Comp4_Name,Comp4_Enrolled,Comp4_Share
AL,Cherokee,4762,1058,22.22,Humana,885,18.58,CVS Health (Aetna),824,17.3,BLUE CROSS AND BLUE SHIELD OF ALABAMA,622.0,13.06,Cigna,482.0,10.12
AL,Chilton,7365,2268,30.79,BLUE CROSS AND BLUE SHIELD OF ALABAMA,1330,18.06,Cigna,1320,17.92,"VIVA HEALTH, INC.",753.0,10.22,Humana,555.0,7.54
AL,Choctaw,2191,653,29.8,Humana,949,43.31,BLUE CROSS AND BLUE SHIELD OF ALABAMA,306,13.97,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,171.0,7.8,CVS Health (Aetna),112.0,5.11
AL,Clarke,4334,1745,40.26,Humana,1578,36.41,BLUE CROSS AND BLUE SHIELD OF ALABAMA,415,9.58,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,302.0,6.97,CVS Health (Aetna),224.0,5.17
AL,Clay,2331,996,42.73,BLUE CROSS AND BLUE SHIELD OF ALABAMA,411,17.63,Humana,353,15.14,CVS Health (Aetna),217.0,9.31,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,169.0,7.25
AL,Cleburne,1889,531,28.11,CVS Health (Aetna),503,26.63,Humana,337,17.84,BLUE CROSS AND BLUE SHIELD OF ALABAMA,310.0,16.41,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,136.0,7.2
AL,Coffee,6272,2561,40.83,Humana,1703,27.15,BLUE CROSS AND BLUE SHIELD OF ALABAMA,807,12.87,CVS Health (Aetna),662.0,10.55,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,478.0,7.62
AL,Colbert,8253,2473,29.96,Humana,2116,25.64,BLUE CROSS AND BLUE SHIELD OF ALABAMA,1426,17.28,CVS Health (Aetna),706.0,8.55,Cigna,478.0,5.79
AL,Conecuh,2256,1110,49.2,Humana,425,18.84,BLUE CROSS AND BLUE SHIELD OF ALABAMA,417,18.48,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,292.0,12.94,CVS Health (Aetna),12.0,0.53
AL,Coosa,2037,899,44.13,BLUE CROSS AND BLUE SHIELD OF ALABAMA,389,19.1,Humana,236,11.59,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,155.0,7.61,CVS Health (Aetna),123.0,6.04
AL,Covington,5905,2445,41.41,BLUE CROSS AND BLUE SHIELD OF ALABAMA,1094,18.53,Humana,1082,18.32,CVS Health (Aetna),623.0,10.55,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,609.0,10.31
AL,Crenshaw,2370,740,31.22,Humana,518,21.86,"VIVA HEALTH, INC.",426,17.97,BLUE CROSS AND BLUE SHIELD OF ALABAMA,333.0,14.05,CVS Health (Aetna),180.0,7.59
AL,Cullman,12564,4419,35.17,BLUE CROSS AND BLUE SHIELD OF ALABAMA,2134,16.99,Cigna,1711,13.62,Humana,1395.0,11.1,"VIVA HEALTH, INC.",1068.0,8.5
AL,Dale,6550,2733,41.73,Humana,1779,27.16,BLUE CROSS AND BLUE SHIELD OF ALABAMA,651,9.94,CVS Health (Aetna),587.0,8.96,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,545.0,8.32
AL,Dallas,7035,2745,39.02,Cigna,1018,14.47,BLUE CROSS AND BLUE SHIELD OF ALABAMA,939,13.35,Humana,829.0,11.78,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,555.0,7.89
AL,DeKalb,9324,1872,20.08,BLUE CROSS AND BLUE SHIELD OF ALABAMA,2374,25.46,Cigna,1522,16.32,Humana,1508.0,16.17,CVS Health (Aetna),914.0,9.8
AL,Elmore,11938,3264,27.34,Humana,2664,22.32,"VIVA HEALTH, INC.",2390,20.02,BLUE CROSS AND BLUE SHIELD OF ALABAMA,1686.0,14.12,CVS Health (Aetna),478.0,4.0
AL,Escambia,5620,2928,52.1,Humana,1102,19.61,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,590,10.5,BLUE CROSS AND BLUE SHIELD OF ALABAMA,508.0,9.04,CVS Health (Aetna),366.0,6.51
AL,Etowah,17297,3369,19.48,BLUE CROSS AND BLUE SHIELD OF ALABAMA,3161,18.27,Humana,2845,16.45,HIGHMARK SENIOR HEALTH COMPANY,1711.0,9.89,Cigna,1636.0,9.46
AL,Fayette,2411,569,23.6,Humana,722,29.95,BLUE CROSS AND BLUE SHIELD OF ALABAMA,545,22.6,CVS Health (Aetna),388.0,16.09,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,118.0,4.89
AL,Franklin,3511,1170,33.32,Humana,1044,29.74,BLUE CROSS AND BLUE SHIELD OF ALABAMA,545,15.52,CVS Health (Aetna),424.0,12.08,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,172.0,4.9
AL,Geneva,4345,1756,40.41,Humana,868,19.98,BLUE CROSS AND BLUE SHIELD OF ALABAMA,676,15.56,CVS Health (Aetna),476.0,10.96,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,408.0,9.39
AL,Greene,1643,340,20.69,Humana,754,45.89,BLUE CROSS AND BLUE SHIELD OF ALABAMA,210,12.78,CVS Health (Aetna),158.0,9.62,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,151.0,9.19
AL,Hale,2800,674,24.07,Humana,1262,45.07,BLUE CROSS AND BLUE SHIELD OF ALABAMA,314,11.21,CVS Health (Aetna),250.0,8.93,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,230.0,8.21
AL,Henry,3408,1387,40.7,Humana,735,21.57,CVS Health (Aetna),475,13.94,BLUE CROSS AND BLUE SHIELD OF ALABAMA,348.0,10.21,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,260.0,7.63
AL,Houston,15706,6904,43.96,Humana,3020,19.23,CVS Health (Aetna),2031,12.93,BLUE CROSS AND BLUE SHIELD OF ALABAMA,1652.0,10.52,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,1145.0,7.29
AL,Jackson,7564,1594,21.07,BLUE CROSS AND BLUE SHIELD OF ALABAMA,1567,20.72,Humana,1504,19.88,Cigna,1249.0,16.51,CVS Health (Aetna),821.0,10.85
AL,Jefferson,91893,26702,29.06,BLUE CROSS AND BLUE SHIELD OF ALABAMA,17299,18.83,"VIVA HEALTH, INC.",16792,18.27,Cigna,10081.0,10.97,Humana,7605.0,8.28
AL,Lamar,1694,419,24.73,Humana,450,26.56,CVS Health (Aetna),437,25.8,BLUE CROSS AND BLUE SHIELD OF ALABAMA,258.0,15.23,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,84.0,4.96
AL,Lauderdale,12644,3718,29.41,Humana,2996,23.7,BLUE CROSS AND BLUE SHIELD OF ALABAMA,2727,21.57,CVS Health (Aetna),1031.0,8.15,Cigna,659.0,5.21
AL,Lawrence,4684,1474,31.47,Humana,971,20.73,BLUE CROSS AND BLUE SHIELD OF ALABAMA,807,17.23,CVS Health (Aetna),425.0,9.07,Cigna,394.0,8.41
AL,Lee,16852,5155,30.59,Humana,6030,35.78,BLUE CROSS AND BLUE SHIELD OF ALABAMA,2120,12.58,CVS Health (Aetna),1173.0,6.96,"VIVA HEALTH, INC.",1097.0,6.51
AL,Limestone,11143,2912,26.13,Humana,2503,22.46,BLUE CROSS AND BLUE SHIELD OF ALABAMA,1835,16.47,Cigna,1035.0,9.29,CVS Health (Aetna),1003.0,9.0
AL,Lowndes,2309,1103,47.77,Humana,292,12.65,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,235,10.18,"VIVA HEALTH, INC.",221.0,9.57,BLUE CROSS AND BLUE SHIELD OF ALABAMA,168.0,7.28
AL,Macon,3036,1429,47.07,Humana,579,19.07,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,287,9.45,BLUE CROSS AND BLUE SHIELD OF ALABAMA,242.0,7.97,CVS Health (Aetna),207.0,6.82
AL,Madison,36050,11065,30.69,BLUE CROSS AND BLUE SHIELD OF ALABAMA,6786,18.82,Humana,6609,18.33,CVS Health (Aetna),3376.0,9.36,Cigna,2808.0,7.79
AL,Marengo,3406,938,27.54,Humana,1402,41.16,BLUE CROSS AND BLUE SHIELD OF ALABAMA,479,14.06,CVS Health (Aetna),247.0,7.25,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,212.0,6.22
AL,Marion,3659,1025,28.01,Humana,811,22.16,CVS Health (Aetna),788,21.54,BLUE CROSS AND BLUE SHIELD OF ALABAMA,765.0,20.91,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,196.0,5.36
AL,Marshall,12235,3121,25.51,BLUE CROSS AND BLUE SHIELD OF ALABAMA,2661,21.75,Humana,2179,17.81,CVS Health (Aetna),1105.0,9.03,Cigna,1061.0,8.67
AL,Mobile,63067,23542,37.33,Humana,12050,19.11,Cigna,9269,14.7,BLUE CROSS AND BLUE SHIELD OF ALABAMA,7874.0,12.49,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,3148.0,4.99
AL,Monroe,3589,1806,50.32,Humana,672,18.72,BLUE CROSS AND BLUE SHIELD OF ALABAMA,656,18.28,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,397.0,11.06,"SIMPRA ADVANTAGE, INC.",33.0,0.92
AL,Montgomery,28953,10943,37.8,Humana,5816,20.09,"VIVA HEALTH, INC.",3336,11.52,BLUE CROSS AND BLUE SHIELD OF ALABAMA,2655.0,9.17,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,2020.0,6.98
AL,Morgan,14870,4285,28.82,BLUE CROSS AND BLUE SHIELD OF ALABAMA,2854,19.19,Humana,2808,18.88,CVS Health (Aetna),1473.0,9.91,Cigna,1258.0,8.46
AL,Perry,1775,878,49.46,Humana,341,19.21,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,211,11.89,BLUE CROSS AND BLUE SHIELD OF ALABAMA,160.0,9.01,CVS Health (Aetna),104.0,5.86
AL,Pickens,2988,561,18.78,Humana,1128,37.75,CVS Health (Aetna),565,18.91,BLUE CROSS AND BLUE SHIELD OF ALABAMA,408.0,13.65,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,214.0,7.16
AL,Pike,4581,1762,38.46,Humana,924,20.17,BLUE CROSS AND BLUE SHIELD OF ALABAMA,540,11.79,"VIVA HEALTH, INC.",493.0,10.76,CVS Health (Aetna),444.0,9.69
AL,Randolph,3729,966,25.91,CVS Health (Aetna),1096,29.39,Humana,657,17.62,BLUE CROSS AND BLUE SHIELD OF ALABAMA,459.0,12.31,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,318.0,8.53
AL,Russell,7231,2636,36.45,Humana,2262,31.28,CVS Health (Aetna),1151,15.92,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,608.0,8.41,BLUE CROSS AND BLUE SHIELD OF ALABAMA,229.0,3.17
AL,Shelby,27167,8020,29.52,BLUE CROSS AND BLUE SHIELD OF ALABAMA,8423,31.0,"VIVA HEALTH, INC.",2897,10.66,Cigna,2589.0,9.53,Humana,1769.0,6.51
AL,St. Clair,14164,4366,30.82,"VIVA HEALTH, INC.",3162,22.32,BLUE CROSS AND BLUE SHIELD OF ALABAMA,2481,17.52,Cigna,1423.0,10.05,Humana,1037.0,7.32
AL,Sumter,2068,602,29.11,Humana,1122,54.26,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,161,7.79,BLUE CROSS AND BLUE SHIELD OF ALABAMA,141.0,6.82,"SIMPRA ADVANTAGE, INC.",31.0,1.5
AL,Talladega,13792,5535,40.13,Cigna,1714,12.43,BLUE CROSS AND BLUE SHIELD OF ALABAMA,1609,11.67,Humana,1299.0,9.42,"VIVA HEALTH, INC.",1115.0,8.08
AL,Tallapoosa,7356,2621,35.63,BLUE CROSS AND BLUE SHIELD OF ALABAMA,1352,18.38,Humana,1178,16.01,"VIVA HEALTH, INC.",893.0,12.14,CVS Health (Aetna),539.0,7.33
AL,Tuscaloosa,23037,5964,25.89,Humana,6693,29.05,BLUE CROSS AND BLUE SHIELD OF ALABAMA,2953,12.82,Cigna,2827.0,12.27,CVS Health (Aetna),2271.0,9.86
AL,Walker,11434,3527,30.85,BLUE CROSS AND BLUE SHIELD OF ALABAMA,1878,16.42,Cigna,1550,13.56,"VIVA HEALTH, INC.",1063.0,9.3,Humana,949.0,8.3
AL,Washington,2788,1034,37.09,Humana,913,32.75,BLUE CROSS AND BLUE SHIELD OF ALABAMA,454,16.28,CVS Health (Aetna),240.0,8.61,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,131.0,4.7
AL,Wilcox,2260,937,41.46,Humana,512,22.65,BLUE CROSS AND BLUE SHIELD OF ALABAMA,350,15.49,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,250.0,11.06,CVS Health (Aetna),183.0,8.1
AL,Winston,3600,1426,39.61,BLUE CROSS AND BLUE SHIELD OF ALABAMA,799,22.19,Humana,648,18.0,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,236.0,6.56,CVS Health (Aetna),231.0,6.42
AR,Arkansas,1543,539,34.93,Humana,413,26.77,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,335,21.71,CVS Health (Aetna),141.0,9.14,"ARKANSAS HEALTH & WELLNESS HEALTH PLAN, INC.",45.0,2.92
AR,Ashley,2092,785,37.52,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,785,37.52,Humana,396,18.93,"ARKANSAS HEALTH & WELLNESS HEALTH PLAN, INC.",61.0,2.92,"Primewell Health Services of Arkansas, Inc.",30.0,1.43
AR,Baxter,6914,961,13.9,Humana,3802,54.99,"ARKANSAS HEALTH & WELLNESS HEALTH PLAN, INC.",822,11.89,USABLE PPO INSURANCE COMPANY,428.0,6.19,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,354.0,5.12
AR,Benton,26264,4298,16.36,Humana,8191,31.19,CVS Health (Aetna),6437,24.51,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,3788.0,14.42,USABLE PPO INSURANCE COMPANY,789.0,3.0
AR,Boone,4976,1156,23.23,Humana,2017,40.53,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,600,12.06,CVS Health (Aetna),451.0,9.06,"ARKANSAS HEALTH & WELLNESS HEALTH PLAN, INC.",413.0,8.3
AR,Bradley,1028,379,36.87,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,312,30.35,Humana,237,23.05,"ARKANSAS HEALTH & WELLNESS HEALTH PLAN, INC.",47.0,4.57,USABLE PPO INSURANCE COMPANY,19.0,1.85
AR,Calhoun,478,152,31.8,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,159,33.26,Humana,88,18.41,"ARKANSAS HEALTH & WELLNESS HEALTH PLAN, INC.",30.0,6.28,"HARMONY HEALTH PLAN,  INC.",13.0,2.72
AR,Carroll,3947,839,21.26,CVS Health (Aetna),988,25.03,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,858,21.74,Humana,662.0,16.77,USABLE PPO INSURANCE COMPANY,184.0,4.66
AR,Chicot,1395,644,46.16,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,360,25.81,Humana,238,17.06,"ARKANSAS HEALTH & WELLNESS HEALTH PLAN, INC.",69.0,4.95,"HARMONY HEALTH PLAN,  INC.",40.0,2.87
AR,Clark,2313,609,26.33,Humana,616,26.63,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,459,19.84,CVS Health (Aetna),265.0,11.46,"ARKANSAS HEALTH & WELLNESS HEALTH PLAN, INC.",221.0,9.55
AR,Clay,1383,415,30.01,"ARKANSAS HEALTH & WELLNESS HEALTH PLAN, INC.",344,24.87,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,215,15.55,"HARMONY HEALTH PLAN,  INC.",94.0,6.8,Humana,81.0,5.86
AR,Cleburne,3443,891,25.88,Humana,553,16.06,"USABLE HMO, INC.",551,16.0,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,484.0,14.06,CVS Health (Aetna),469.0,13.62
AR,Cleveland,757,276,36.46,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,219,28.93,Humana,129,17.04,"ARKANSAS HEALTH & WELLNESS HEALTH PLAN, INC.",43.0,5.68,USABLE PPO INSURANCE COMPANY,27.0,3.57
AR,Columbia,2252,1030,45.74,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,551,24.47,Humana,383,17.01,"ARKANSAS HEALTH & WELLNESS HEALTH PLAN, INC.",90.0,4.0,"ARKANSAS SUPERIOR SELECT, INC.",78.0,3.46
AR,Conway,2481,782,31.52,Humana,394,15.88,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,386,15.56,CVS Health (Aetna),321.0,12.94,"ARKANSAS HEALTH & WELLNESS HEALTH PLAN, INC.",190.0,7.66
AR,Craighead,8207,1622,19.76,Humana,2969,36.18,"ARKANSAS HEALTH & WELLNESS HEALTH PLAN, INC.",1445,17.61,Cigna,577.0,7.03,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,524.0,6.38
AR,Crawford,8193,1609,19.64,Humana,3049,37.21,CVS Health (Aetna),1567,19.13,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,945.0,11.53,"ARKANSAS HEALTH & WELLNESS HEALTH PLAN, INC.",341.0,4.16
AR,Crittenden,4967,1612,32.45,Humana,1187,23.9,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,991,19.95,Cigna,295.0,5.94,CVS Health (Aetna),290.0,5.84
AR,Cross,1844,479,25.98,"ARKANSAS HEALTH & WELLNESS HEALTH PLAN, INC.",366,19.85,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,280,15.18,Cigna,234.0,12.69,CVS Health (Aetna),128.0,6.94
AR,Dallas,967,342,35.37,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,255,26.37,Humana,228,23.58,"ARKANSAS HEALTH & WELLNESS HEALTH PLAN, INC.",43.0,4.45,"ARKANSAS SUPERIOR SELECT, INC.",26.0,2.69
AR,Desha,1435,601,41.88,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,426,29.69,Humana,251,17.49,"ARKANSAS HEALTH & WELLNESS HEALTH PLAN, INC.",93.0,6.48,"HARMONY HEALTH PLAN,  INC.",51.0,3.55
AR,Drew,1724,792,45.94,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,593,34.4,"ARKANSAS HEALTH & WELLNESS HEALTH PLAN, INC.",157,9.11,Humana,64.0,3.71,"HARMONY HEALTH PLAN,  INC.",36.0,2.09
AR,Faulkner,9251,2824,30.53,Humana,1933,20.9,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,1739,18.8,CVS Health (Aetna),1126.0,12.17,"ARKANSAS HEALTH & WELLNESS HEALTH PLAN, INC.",793.0,8.57
AR,Franklin,2505,548,21.88,Humana,518,20.68,CVS Health (Aetna),511,20.4,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,336.0,13.41,"USABLE HMO, INC.",260.0,10.38
AR,Fulton,1649,362,21.95,Humana,601,36.45,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,223,13.52,"ARKANSAS HEALTH & WELLNESS HEALTH PLAN, INC.",182.0,11.04,USABLE PPO INSURANCE COMPANY,105.0,6.37
AR,Garland,14811,4165,28.12,CVS Health (Aetna),3044,20.55,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,2532,17.1,Humana,2484.0,16.77,"ARKANSAS HEALTH & WELLNESS HEALTH PLAN, INC.",1590.0,10.74
AR,Grant,1798,609,33.87,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,450,25.03,Humana,375,20.86,CVS Health (Aetna),125.0,6.95,"ARKANSAS HEALTH & WELLNESS HEALTH PLAN, INC.",59.0,3.28
AR,Greene,4213,848,20.13,Humana,1322,31.38,"ARKANSAS HEALTH & WELLNESS HEALTH PLAN, INC.",720,17.09,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,419.0,9.95,USABLE PPO INSURANCE COMPANY,227.0,5.39
AR,Hempstead,2326,848,36.46,Humana,701,30.14,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,600,25.8,"ARKANSAS HEALTH & WELLNESS HEALTH PLAN, INC.",75.0,3.22,CVS Health (Aetna),55.0,2.36
AR,Hot Spring,4145,1192,28.76,Humana,902,21.76,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,739,17.83,CVS Health (Aetna),518.0,12.5,"ARKANSAS HEALTH & WELLNESS HEALTH PLAN, INC.",373.0,9.0
AR,Howard,1272,546,42.92,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,541,42.53,"ARKANSAS HEALTH & WELLNESS HEALTH PLAN, INC.",84,6.6,Humana,63.0,4.95,CVS Health (Aetna),38.0,2.99
AR,Independence,3362,1164,34.62,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,819,24.36,"ARKANSAS HEALTH & WELLNESS HEALTH PLAN, INC.",362,10.77,USABLE PPO INSURANCE COMPANY,263.0,7.82,CVS Health (Aetna),245.0,7.29
AR,Izard,1988,463,23.29,Humana,472,23.74,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,330,16.6,"ARKANSAS HEALTH & WELLNESS HEALTH PLAN, INC.",293.0,14.74,USABLE PPO INSURANCE COMPANY,126.0,6.34
AR,Jackson,1733,609,35.14,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,382,22.04,"ARKANSAS HEALTH & WELLNESS HEALTH PLAN, INC.",344,19.85,USABLE PPO INSURANCE COMPANY,111.0,6.41,"HARMONY HEALTH PLAN,  INC.",103.0,5.94
AR,Jefferson,8162,3067,37.58,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,2038,24.97,Humana,1686,20.66,"ARKANSAS HEALTH & WELLNESS HEALTH PLAN, INC.",376.0,4.61,CVS Health (Aetna),365.0,4.47
AR,Johnson,3249,882,27.15,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,621,19.11,Humana,510,15.7,CVS Health (Aetna),411.0,12.65,"USABLE HMO, INC.",345.0,10.62
AR,Lafayette,861,461,53.54,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,251,29.15,"ARKANSAS HEALTH & WELLNESS HEALTH PLAN, INC.",64,7.43,Humana,55.0,6.39,CVS Health (Aetna),30.0,3.48
AR,Lawrence,2103,355,16.88,Humana,798,37.95,"ARKANSAS HEALTH & WELLNESS HEALTH PLAN, INC.",455,21.64,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,158.0,7.51,USABLE PPO INSURANCE COMPANY,75.0,3.57
AR,Lee,1079,506,46.9,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,247,22.89,Humana,178,16.5,CVS Health (Aetna),67.0,6.21,"ARKANSAS HEALTH & WELLNESS HEALTH PLAN, INC.",50.0,4.63
AR,Lincoln,1031,370,35.89,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,335,32.49,Humana,219,21.24,"ARKANSAS HEALTH & WELLNESS HEALTH PLAN, INC.",52.0,5.04,"HARMONY HEALTH PLAN,  INC.",44.0,4.27
